ID: 0  Имя: Idle
ID: 5276  Имя: ServiceHub.TestWindowStoreHost
Приоритет: 8  Время запуска: 30.12.2020 9:09:12

ID: 5292  Имя: conhost
Приоритет: 8  Время запуска: 30.12.2020 9:08:51

ID: 5316  Имя: ServiceHub.SettingsHost
Приоритет: 8  Время запуска: 30.12.2020 9:09:13

ID: 5348  Имя: conhost
Приоритет: 8  Время запуска: 30.12.2020 9:08:51

ID: 5896  Имя: ServiceHub.Host.CLR.x86
Приоритет: 8  Время запуска: 30.12.2020 9:09:06

ID: 5928  Имя: conhost
Приоритет: 8  Время запуска: 30.12.2020 9:08:51

ID: 5956  Имя: GoogleUpdate
Приоритет: 4  Время запуска: 30.12.2020 9:09:34

ID: 5656  Имя: GoogleCrashHandler
Приоритет: 4  Время запуска: 30.12.2020 9:09:34

ID: 5980  Имя: GoogleCrashHandler64
Приоритет: 4  Время запуска: 30.12.2020 9:09:34

ID: 4524  Имя: wmpnetwk
Приоритет: 8  Время запуска: 30.12.2020 9:09:34

ID: 4604  Имя: svchost
Приоритет: 8  Время запуска: 30.12.2020 9:07:13

ID: 6620  Имя: GoogleUpdate
Приоритет: 8  Время запуска: 30.12.2020 9:09:34

ID: 7128  Имя: ServiceHub.DataWarehouseHost
Приоритет: 8  Время запуска: 30.12.2020 10:02:48

ID: 7788  Имя: conhost
Приоритет: 8  Время запуска: 30.12.2020 9:08:51

ID: 6680  Имя: ScriptedSandbox64
Приоритет: 8  Время запуска: 30.12.2020 10:08:02

ID: 7224  Имя: devenv
Приоритет: 8  Время запуска: 30.12.2020 9:08:44

ID: 8604  Имя: PerfWatson2
Приоритет: 8  Время запуска: 30.12.2020 9:08:47

ID: 3540  Имя: ServiceHub.RoslynCodeAnalysisService32
Приоритет: 6  Время запуска: 30.12.2020 9:09:02

ID: 8216  Имя: conhost
Приоритет: 8  Время запуска: 30.12.2020 9:08:51

ID: 6204  Имя: ServiceHub.Host.CLR.x86
Приоритет: 8  Время запуска: 30.12.2020 9:09:06

ID: 8652  Имя: conhost
Приоритет: 8  Время запуска: 30.12.2020 9:08:51

ID: 3316  Имя: ServiceHub.TestWindowStoreHost
Приоритет: 8  Время запуска: 30.12.2020 9:09:12

ID: 8968  Имя: conhost
Приоритет: 8  Время запуска: 30.12.2020 9:08:51

ID: 10332  Имя: Teams
Приоритет: 8  Время запуска: 30.12.2020 10:59:29

ID: 7376  Имя: Teams
Приоритет: 10  Время запуска: 30.12.2020 10:59:29

ID: 2996  Имя: Teams
Приоритет: 8  Время запуска: 30.12.2020 10:59:29

ID: 2432  Имя: Teams
Приоритет: 8  Время запуска: 30.12.2020 10:59:29

ID: 8980  Имя: Teams
Приоритет: 8  Время запуска: 30.12.2020 10:59:29

ID: 8136  Имя: Teams
Приоритет: 8  Время запуска: 30.12.2020 10:59:29

ID: 10584  Имя: Teams
Приоритет: 8  Время запуска: 30.12.2020 10:59:29

ID: 10492  Имя: Teams
Приоритет: 8  Время запуска: 30.12.2020 10:59:29

ID: 6368  Имя: audiodg
Приоритет: 8  Время запуска: 30.12.2020 11:10:17

ID: 4904  Имя: Teams
Приоритет: 8  Время запуска: 30.12.2020 10:59:29

ID: 9076  Имя: Teams
Приоритет: 8  Время запуска: 30.12.2020 10:59:29

ID: 11032  Имя: Teams
